	Order	Family	Genus	Species	animal	TOTALINNOVATIONS2025	FOODINNO2025	TECHINNO2025	TOTALINNOVATIONS2025_ResEff	FOODINNO2025_ResEff	TECHINNO2025_ResEff	Range.Size	ResearchEffort	DietBreadth	HabitatBreadth	GenerationLength	GenerationLengthFULL	MaxLongevity	Insularity	UrbanFULL	IUCNStatus2019	StatusCode	PopulationTrend2019	TrendCode	HabitatDestruction	Overexploitation	InvasiveSpecies	CriterionB	Brain_size	Relative_brain_size	Beak_length.Culmen	Beak_length.Nares	Beak_width	Beak_depth	Tarsus_length	Wing_length	Kipps_distance	Secondary1	Hand.Wing_index	Tail_length	Mass	Habitat	Habitat_density	Migration	Trophic_level	Trophic_niche	Primary_lifestyle	Range_size	buildingcoll	lbuildingcoll	buildingcoll_mig	lbuildingcoll_mig	buildingcoll_nonmig	lbuildingcoll_nonmig	rawtowercoll	ltowercollnonzero	rawturbinecoll	lturbinecollnonxero	ALLcoll	Abundance.estimate
6902	PASSERIFORMES	SITTIDAE	Sitta	Sitta_europaea	Sitta_europaea	4	4	0	0.699916129	0.987635675	-0.514446149	21575986.15	363	4	1.680440771	4	2.694348672	12.92	0	0	Least-Concern	1	stable	2	0	0	0	NO	1.041	0.296	20.9	13.6	4.8	4.6	20.2	85.4	20.3	65	23.8	46.8	20.37	Forest	1	1	Carnivore	Invertivore	Insessorial	21575986.15	1	0	1	0	0	NA	NA	NA	NA	NA	0	16291137
8826	PASSERIFORMES	REGULIDAE	Regulus	Regulus_regulus	Regulus_regulus	5	4	1	0.966464931	1.045358958	0.228347831	13206760.36	212	1	2.507674144	NA	1.85286007	7	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.355	-0.049	10.6	5.7	2.2	2.1	15	52.9	11.6	41.2	22	39.3	5.54	Forest	1	3	Carnivore	Invertivore	Insessorial	13206760.36	7	0.84509804	7	0.85	0	NA	NA	NA	NA	NA	0.84509804	12784949
4390	PASSERIFORMES	BOMBYCILLIDAE	Bombycilla	Bombycilla_garrulus	Bombycilla_garrulus	7	5	2	1.242762414	1.219878338	0.627102421	12792145	228	3	3.240007915	4.6	2.812218458	13.5	0	1	Least-Concern	1	increasing	3	0	0	0	NO	1.175	-0.134	15.5	7.6	5.1	6	20.7	116.2	43.9	72.3	37.8	65.8	54.41	Forest	1	3	Herbivore	Omnivore	Insessorial	12792145	132	2.120573931	105	2.02	27	1.43	NA	NA	NA	NA	2.120573931	17293522
4014	PASSERIFORMES	SYLVIIDAE	Sylvia	Sylvia_borin	Sylvia_borin	1	1	0	-0.181192699	0.095456085	-0.493708573	9648408.47	290	3	5.799409061	4	3.591084482	19.0835	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.629	-0.144	15.1	7.2	3.5	3.6	20.1	78.7	23.6	55.2	30	57.9	18.2	Woodland	1	3	Omnivore	Omnivore	Insessorial	9648408.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13552732
4610	PASSERIFORMES	SYLVIIDAE	Sylvia	Sylvia_atricapilla	Sylvia_atricapilla	9	7	2	1.302654023	1.395679297	0.530875406	8628077.66	646	3	5.483527415	4	2.509753403	11.58	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.647	-0.068	15.2	7.2	3.2	3.4	20.8	75.9	20.5	55.4	27	62.2	16.7	Woodland	1	3	Omnivore	Omnivore	Insessorial	8628077.66	2	0.301029996	0	NA	2	0.3	NA	NA	NA	NA	0.301029996	25867223
4558	PASSERIFORMES	PHYLLOSCOPIDAE	Phylloscopus	Phylloscopus_collybita	Phylloscopus_collybita	8	3	5	1.267851827	0.750887703	1.265612392	7564956.38	412	2	7.228260005	3.6	1.997610423	8.018340694	0	0	Least-Concern	1	increasing	3	1	0	1	NO	0.324	-0.367	11.6	6	2.3	2.2	19.7	58.8	10.8	47.7	18.4	48.5	8.3	Forest	1	3	Carnivore	Invertivore	Insessorial	7564956.38	2	0.301029996	1	0	1	0	NA	NA	NA	NA	0.301029996	38063566
3871	PASSERIFORMES	PHYLLOSCOPIDAE	Phylloscopus	Phylloscopus_trochilus	Phylloscopus_trochilus	2	1	1	0.143980357	0.0404297	0.152111364	15839222.41	484	2	5.52143928	3.5	2.528040959	11.75	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.341	-0.342	12.8	6.6	2.6	2.6	19.3	65.9	17.1	48.8	25.9	52.3	8.7	Forest	1	3	Carnivore	Invertivore	Insessorial	15839222.41	2	0.301029996	1	0	1	0	NA	NA	NA	NA	0.301029996	46593036
7397	PASSERIFORMES	AEGITHALIDAE	Aegithalos	Aegithalos_caudatus	Aegithalos_caudatus	5	4	1	0.961382426	1.041875776	0.225352005	18247301.19	219	4	4.814201183	4.2	2.393004781	10.8	0	1	Least-Concern	1	stable	2	0	0	0	NO	0.438	-0.085	7.6	4.2	2.5	3.3	15.9	63.1	14	49.5	22	87.8	8.6	Forest	2	1	Carnivore	Invertivore	Insessorial	18247301.19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18889928
7951	PASSERIFORMES	HIRUNDINIDAE	Tachycineta	Tachycineta_bicolor	Tachycineta_bicolor	1	0	1	-0.268767346	-0.657708446	0.147818721	11720977.55	507	2	3.019027484	4	2.574948263	12.08	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.553	-0.359	10.8	5.9	3.8	2.8	12.2	115.9	61.3	54.3	53	54	21.2	Wetland	3	3	Carnivore	Invertivore	Aerial	11720977.55	12	1.079181246	8	0.9	4	0.6	14	1.146128036	64	1.806179974	1.954242509	24001900
8832	PASSERIFORMES	HIRUNDINIDAE	Riparia	Riparia_riparia	Riparia_riparia	7	4	3	1.086210595	0.930267449	0.82250679	36583654.61	619	1	5.802702014	NA	2.279290105	10	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0.416	-0.355	9.4	5	3.7	2.5	10.5	101.8	54	47.9	53	47.2	12.68	Riverine	3	3	Carnivore	Invertivore	Aerial	36583654.61	NA	NA	NA	NA	NA	NA	1	0	2	0.301029996	0.477121255	49357199
3699	PASSERIFORMES	HIRUNDINIDAE	Hirundo	Hirundo_rustica	Hirundo_rustica	20	4	16	1.929449065	0.846765433	2.19760713	51701054.06	1345	2	5.811854513	3.9	3.132150175	16	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.553	-0.264	12.4	6	4.5	2.7	11.7	115.8	62.3	56	52.6	71.4	17.91	Human Modified	3	3	Carnivore	Invertivore	Aerial	51701054.06	35	1.544068044	8	0.9	20	1.3	4	0.602059991	24	1.380211242	1.799340549	1076122004
3405	PASSERIFORMES	ACROCEPHALIDAE	Acrocephalus	Acrocephalus_arundinaceus	Acrocephalus_arundinaceus	1	1	0	-0.246536212	0.050674351	-0.532224569	9336953.31	440	3	4.941545978	4.2	2.656256752	11.76257462	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.921	-0.043	23	12.8	4.7	5.4	28.1	95.4	27.2	68.1	28.6	80.8	30	Wetland	3	3	Carnivore	Invertivore	Insessorial	9336953.31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24440618
7394	PASSERIFORMES	ACROCEPHALIDAE	Acrocephalus	Acrocephalus_schoenobaenus	Acrocephalus_schoenobaenus	0	0	0	-0.891708675	-0.609594416	-0.503946413	11967937.01	324	3	4.2915157	3.6	2.292296221	10.0915	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.455	-0.226	14.9	8.2	2.9	2.8	20.9	65.4	18.4	46.9	28.2	48.9	11.83	Wetland	3	3	Carnivore	Invertivore	Insessorial	11967937.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21454553
7393	PASSERIFORMES	ACROCEPHALIDAE	Acrocephalus	Acrocephalus_palustris	Acrocephalus_palustris	0	0	0	-0.876485728	-0.599161706	-0.494973419	5996672.74	294	2	5.573561186	4.4	2.297947971	10.13126092	0	0	Least-Concern	1	stable	2	0	0	0	NO	NA	NA	16.1	8.2	3.3	3.3	21.3	68.6	19.2	49.6	27.9	56.5	11.5	Shrubland	3	3	Carnivore	Invertivore	Insessorial	5996672.74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4790312
7395	PASSERIFORMES	ACROCEPHALIDAE	Acrocephalus	Acrocephalus_scirpaceus	Acrocephalus_scirpaceus	0	0	0	-0.977232647	-0.668206382	-0.554357554	15112845.4	559	3	3.9943074	4.3	2.848356296	14	0	0	Least-Concern	1	stable	2	0	0	0	NO	0.467	-0.222	18.2	8.7	3.2	2.9	21.3	65.3	16	49.5	24.3	51.1	12.3	Wetland	3	3	Carnivore	Invertivore	Insessorial	15112845.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18408664
3418	PASSERIFORMES	ALAUDIDAE	Alauda	Alauda_arvensis	Alauda_arvensis	3	3	0	0.432637702	0.734245262	-0.540460953	26018285.25	481	3	6.975992753	4.3	2.833403383	11.58548226	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.97	-0.114	14.6	8.8	4.4	4.7	23.6	106.7	36	70.8	33.6	67.6	37.31	Grassland	3	2	Omnivore	Omnivore	Terrestrial	26018285.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36454980
8588	PASSERIFORMES	PANURIDAE	Panurus	Panurus_biarmicus	Panurus_biarmicus	0	0	0	-0.826763529	-0.565085695	-0.46566523	11689099.28	214	2	2.678674352	4.2	2.142517011	7.196907179	0	0	Least-Concern	1	unknown	NA	0	0	0	NO	0.559	-0.108	9.2	5.8	3.3	3.5	19.5	60	13.3	46.8	22.1	82.4	13.82	Wetland	3	2	Omnivore	Invertivore	Insessorial	11689099.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6027889
4304	PASSERIFORMES	PARIDAE	Poecile	Poecile_atricapillus	Parus_atricapillus	4	3	1	0.745711079	0.795876682	0.205694348	9078514.18	271	2	2.820185615	4.1	2.623277	12.42	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.765	0.344	10.3	7.2	3.7	4	16.8	64.4	12	52.5	18.6	61.7	10.8	Forest	1	1	Omnivore	Invertivore	Insessorial	9078514.18	2652	3.42357352	2605	3.42	47	1.67	NA	NA	2	0.301029996	3.423900919	112012778
3356	PASSERIFORMES	PARIDAE	Poecile	Poecile_montanus	Parus_montanus	1	0	1	-0.229618723	-0.630878802	0.170894434	21263364.59	395	2	5.652057245	4.7	2.468340754	11.33	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	0.772	0.338	11	7.1	3.4	4	16.2	65.5	11.6	53.9	17.7	59.3	11.1	Forest	1	1	Omnivore	Invertivore	Insessorial	21263364.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2408	PASSERIFORMES	PARIDAE	Poecile	Poecile_palustris	Parus_palustris	5	2	3	0.914741826	0.499086046	0.89100741	9072135.09	295	3	4.458036204	4.2	2.573934383	11.92	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.664	0.185	9.4	6.7	3.3	4.1	15.9	64	11.4	52.5	17.9	54.8	11.14	Forest	1	1	Omnivore	Invertivore	Insessorial	9072135.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2197	PASSERIFORMES	PARIDAE	Periparus	Periparus_ater	Parus_ater	4	1	3	0.685092287	0.061185751	0.863110466	18987457.58	399	5	4.186643836	4.1	2.196373154	9.416666667	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.605	0.2	10.7	6.3	3	3.6	15.1	61.1	13.4	47.9	21.9	46.4	9.2	Forest	1	1	Omnivore	Invertivore	Insessorial	18987457.58	9	0.954242509	9	0.95	0	NA	NA	NA	NA	NA	0.954242509	18011962
4288	PASSERIFORMES	PARIDAE	Parus	Parus_major	Parus_major	17	11	6	1.706209778	1.674885819	1.269580435	32577984.28	2088	4	5.857488037	4.3	3.049707035	15.42	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.846	0.216	11.3	8	4	4.3	17.4	70.9	13.3	57.7	18.7	61.2	16.25	Woodland	2	1	Omnivore	Invertivore	Insessorial	32577984.28	38	1.579783597	38	1.58	0	NA	NA	NA	NA	NA	1.579783597	60442665
4434	PASSERIFORMES	PARIDAE	Cyanistes	Cyanistes_caeruleus	Parus_caeruleus	20	11	9	2.080456819	1.825724	1.755988696	8753389.8	514	3	5.524975892	4.4	2.932679691	14.6	0	1	Least-Concern	1	increasing	3	0	0	0	NO	0.664	0.187	9.7	5.8	3.2	4.2	15.2	65.6	13.8	51.8	21	51.4	11.1	Forest	1	1	Omnivore	Invertivore	Insessorial	8753389.8	6	0.77815125	6	0.78	0	NA	NA	NA	NA	NA	0.77815125	17115823
4583	PASSERIFORMES	REMIZIDAE	Remiz	Remiz_pendulinus	Remiz_pendulinus	0	0	0	-0.903357035	-0.617577363	-0.510812408	5985828.65	349	2	4.856944058	3.7	2.350933231	8.157321474	0	0	Least-Concern	1	increasing	3	0	0	0	NO	NA	NA	10.6	7.5	3.1	3.9	13.7	56.1	10.9	45.2	19.4	48.5	9.3	Wetland	2	3	Omnivore	Invertivore	Insessorial	5985828.65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5335455
5325	PASSERIFORMES	CORVIDAE	Corvus	Corvus_splendens	Corvus_splendens	26	10	16	2.472025178	1.834832557	2.369288044	4469957.42	210	4	1.570156846	7.3	4.305368018	13.68419557	0	1	Least-Concern	1	stable	2	0	0	0	NO	5.905	0.536	49.7	31.5	13.9	16.7	45.9	258.2	93.8	163.9	36.3	151.9	292.55	Human Modified	3	1	Omnivore	Omnivore	Terrestrial	4469957.42	15	1.176091259	15	1.18	0	NA	NA	NA	NA	NA	1.176091259	41061217
4431	PASSERIFORMES	CORVIDAE	Corvus	Corvus_corone	Corvus_corone	42	21	21	2.685912437	2.355636221	2.478887468	33343165.09	1044	4	8.486071399	6.8	5.722759998	19.23327956	0	1	Least-Concern	1	increasing	3	0	0	0	NO	8.587	0.537	55	35.9	15.1	18.5	59.4	323.9	119.6	204.6	36.9	179.6	570	Human Modified	3	1	Carnivore	Omnivore	Terrestrial	33343165.09	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44906864
4429	PASSERIFORMES	CORVIDAE	Corvus	Corvus_brachyrhynchos	Corvus_brachyrhynchos	25	9	16	2.37534363	1.699128314	2.334545807	11573830.54	306	4	5.034969738	7.3	7.993566253	16.48827215	0	0	Least-Concern	1	increasing	3	0	0	0	NO	7.235	0.499	51.1	35.4	14.7	17.7	59.3	309.6	109.1	199.9	35.3	177.3	448.76	Human Modified	2	2	Omnivore	Omnivore	Terrestrial	11573830.54	27	1.431363764	12	1.08	15	1.18	1	0	14	1.146128036	1.62324929	91840173
4430	PASSERIFORMES	CORVIDAE	Corvus	Corvus_corax	Corvus_corax	35	20	15	2.538673696	2.329979257	2.178377687	52288449.5	860	5	4.821774916	7.9	7.464649592	21.92	0	0	Least-Concern	1	increasing	3	0	0	0	NO	14.58	0.792	77	49.2	21.9	27.9	67.1	419.7	167.2	252.7	39.8	228.7	927.97	Forest	3	2	Omnivore	Omnivore	Terrestrial	52288449.5	2	0.301029996	2	0.3	0	NA	NA	NA	14	1.146128036	1.204119983	47152451
3581	PASSERIFORMES	CORVIDAE	Corvus	Corvus_frugilegus	Corvus_frugilegus	13	5	8	1.631076079	1.102480211	1.624742606	19019081.22	680	4	3.209205021	7.3	5.585125453	20.5	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	7.701	0.558	59.5	39.1	14.8	18.3	55.7	312.3	127.8	184.2	41	166.8	452.1	Grassland	3	1	Omnivore	Omnivore	Terrestrial	19019081.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	355015538
7845	PASSERIFORMES	CORVIDAE	Pica	Pica_pica	Pica_pica	27	13	14	2.25812476	1.904478924	2.096607215	31831405.08	1036	4	5.27649919	7.1	5.811860414	21.67	0	1	Least-Concern	1	stable	2	0	0	0	NO	4.581	0.449	40.8	26.1	12.4	13.7	49.1	194.5	44.6	149.9	22.9	237.4	217.48	Human Modified	3	1	Omnivore	Omnivore	Terrestrial	31831405.08	1	0	1	0	0	NA	NA	NA	NA	NA	0	33377656
5722	PASSERIFORMES	CORVIDAE	Garrulus	Garrulus_glandarius	Garrulus_glandarius	12	5	7	1.695547505	1.197452541	1.588643633	19458203.9	281	3	3.075594135	7.5	4.906858475	17	0	1	Least-Concern	1	stable	2	0	0	0	NO	4.079	0.507	33	19.9	9	11.6	39.1	181.1	35.4	147.3	19.4	150.2	159.46	Forest	1	2	Omnivore	Omnivore	Insessorial	19458203.9	1	0	1	0	0	NA	NA	NA	NA	NA	0	16081076
215	PASSERIFORMES	CORVIDAE	Aphelocoma	Aphelocoma_coerulescens	Aphelocoma_coerulescens	7	3	4	1.260164234	0.826339183	1.148185351	6933.22	204	4	0.999505685	7.6	5.175549526	15.8	0	0	Vulnerable	3	decreasing	1	1	1	1	NO	2.881	0.567	30	17.7	9.1	9.1	37.8	116.7	20.6	96.2	17.5	140.5	77.12	Shrubland	2	1	Omnivore	Omnivore	Insessorial	6933.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7629
7551	PASSERIFORMES	CORVIDAE	Cyanocitta	Cyanocitta_cristata	Cyanocitta_cristata	14	7	7	1.865973773	1.503861489	1.604750296	6665383.16	236	3	3.849429069	6.8	5.15878621	18.3	0	1	Least-Concern	1	stable	2	0	0	0	NO	3.07	0.557	29.9	18.6	10.1	8.9	34.7	130	22.9	108.3	17.4	121.4	88	Woodland	2	1	Omnivore	Omnivore	Terrestrial	6665383.16	405	2.607455023	376	2.58	29	1.46	6	0.77815125	9	0.954242509	2.62324929	47457226
2589	PASSERIFORMES	CORVIDAE	Pyrrhocorax	Pyrrhocorax_pyrrhocorax	Pyrrhocorax_pyrrhocorax	7	3	4	1.220407025	0.799092457	1.124750913	12981520.53	263	4	4.934019156	11	8.016646585	21.02148216	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	6.434	0.654	54.6	43.7	12.2	12.6	52.5	284.5	111	173.1	39	133.3	276.68	Rock	3	2	Carnivore	Invertivore	Terrestrial	12981520.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16061318
3717	PASSERIFORMES	LANIIDAE	Lanius	Lanius_collurio	Lanius_collurio	4	4	0	0.630808092	0.940274009	-0.555181102	10799323.67	564	3	6.025507636	4	2.291235301	10.1	0	1	Least-Concern	1	decreasing	1	0	0	0	NO	0.971	0.039	18.7	10.6	5.6	7	23.8	93.7	29	64.6	31	75.9	28.44	Woodland	3	3	Carnivore	Invertivore	Insessorial	10799323.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18974738
3720	PASSERIFORMES	LANIIDAE	Lanius	Lanius_ludovicianus	Lanius_ludovicianus	9	3	6	1.447774502	0.801987232	1.463712895	8852504.29	256	3	3.967843137	3.6	2.702084494	12.5	0	0	Near-Threatened	2	decreasing	1	1	1	1	NO	1.54	0.166	21.1	12.3	6.5	8.8	27.7	96.4	21.7	74.2	22.6	96.7	51.59	Shrubland	3	3	Carnivore	Invertivore	Insessorial	8852504.29	1	0	NA	NA	NA	NA	2	0.301029996	13	1.113943352	1.204119983	15767135
3719	PASSERIFORMES	LANIIDAE	Lanius	Lanius_excubitor	Lanius_excubitor	16	9	7	1.8960449	1.661835828	1.54869938	23487697.84	433	4	5.892857143	4	1.981663569	8.17	0	0	Least-Concern	1	decreasing	1	0	0	0	NO	1.442	-0.015	23.2	13.9	6.9	9.3	29.4	109.2	28.7	80.4	26.3	106.2	63.41	Shrubland	3	3	Carnivore	Vertivore	Insessorial	23487697.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12577740
4318	PSITTACIFORMES	PSITTACIDAE	Psittacula	Psittacula_krameri	Psittacula_krameri	12	12	0	1.69223831	1.968374546	-0.492748476	 NA	287	3	4.245621209	7.6	10.31522925	34	0	0	Least-Concern	1	increasing	3	0	0	0	NO	3.841	0.625	25.4	22.7	14.4	20.8	13.8	155.8	75.3	82.2	47.7	215.2	116.1	Forest	2	1	Herbivore	Omnivore	Insessorial	7699517.78	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47500445
2534	PSITTACIFORMES	PSITTACIDAE	Psittacus	Psittacus_erithacus	Psittacus_erithacus	0	0	0	-0.860810592	-0.588419097	-0.485733887	2732037.72	266	1	4.082640916	15.5	11.29886078	49.7	0	1	Endangered	4	decreasing	1	1	1	0	NO	9.289	0.917	41.9	36.2	18.1	30.5	25.1	238.6	98.9	140.3	41.3	94.5	333	Forest	1	1	Herbivore	Omnivore	Insessorial	2732037.72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6587487
3644	FALCONIFORMES	FALCONIDAE	Falco	Falco_subbuteo	Falco_subbuteo	9	6	3	1.369451854	1.307926323	0.857930706	28255832.68	422	2	5.377644894	6.4	4.690670653	14.9	0	1	Least-Concern	1	decreasing	1	1	1	0	NO	3.632	0.241	17.9	12.4	10.4	11.8	31.7	260.7	150.2	110	57.8	129.2	208.17	Woodland	3	3	Carnivore	Invertivore	Aerial	28255832.68	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9173374
7601	FALCONIFORMES	FALCONIDAE	Falco	Falco_rusticolus	Falco_rusticolus	2	0	2	0.233161332	-0.591599269	0.610143191	8809463.94	274	1	4.791679798	6.4	6.127488041	21.8523941	0	0	Least-Concern	1	stable	2	1	1	0	NO	8.95	0.061	36	22	16.3	19.2	56.7	368	174.2	193.2	47.5	201.8	1431.72	Grassland	3	3	Carnivore	Vertivore	Aerial	8809463.94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3640	FALCONIFORMES	FALCONIDAE	Falco	Falco_cherrug	Falco_cherrug	1	1	0	-0.192648034	0.087605424	-0.500460791	11514254.26	312	1	3.84061569	6.4	5.195702924	18.12434064	0	1	Endangered	4	decreasing	1	1	1	0	NO	NA	NA	32.8	21.8	14.8	17.9	52.6	378.5	190.5	191.8	49.9	204.5	961.21	Grassland	3	3	Carnivore	Vertivore	Generalist	11514254.26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7600	FALCONIFORMES	FALCONIDAE	Falco	Falco_peregrinus	Falco_peregrinus	35	15	20	2.399056278	1.962361827	2.368015491	38088662.45	2092	2	8.230815194	6.8	5.712366517	19.25	0	1	Least-Concern	1	stable	2	1	1	0	NO	6.274	0.061	31.1	18.4	13.7	15.4	45.1	314.7	165	152.6	52.2	143	759.95	Grassland	3	2	Carnivore	Vertivore	Aerial	38088662.45	14	1.146128036	8	0.9	5	0.7	NA	NA	8	0.903089987	1.342422681	8922996
7598	FALCONIFORMES	FALCONIDAE	Falco	Falco_columbarius	Falco_columbarius	14	5	9	1.737117087	1.127870333	1.751940728	26326086.22	537	2	5.091129276	5.7	3.176692949	13.46723057	0	1	Least-Concern	1	stable	2	1	0	1	NO	3.125	0.147	16.6	11.8	8	10.5	34.3	199.6	98.8	103.5	48.9	116.6	188.5	Woodland	3	3	Carnivore	Vertivore	Aerial	26326086.22	30	1.477121255	13	1.11	17	1.23	NA	NA	3	0.477121255	1.51851394	4593576
3646	FALCONIFORMES	FALCONIDAE	Falco	Falco_vespertinus	Falco_vespertinus	1	1	0	-0.130664507	0.130084465	-0.4639253	9360235.41	210	2	4.566311912	5.7	3.116151567	13.25	0	0	Near-Threatened	2	decreasing	1	1	1	0	NO	2.732	0.135	17.1	11.7	9.4	10.5	28.1	237.9	132.9	106.2	55.6	125.2	151.49	Grassland	3	3	Carnivore	Invertivore	Aerial	9360235.41	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8769191
3645	FALCONIFORMES	FALCONIDAE	Falco	Falco_tinnunculus	Falco_tinnunculus	18	8	10	1.833987166	1.437719382	1.765013185	49037026.09	1306	2	5.787479211	5.4	4.08055933	20.41666667	0	1	Least-Concern	1	decreasing	1	1	1	0	NO	3.904	0.385	20.8	14.1	10.6	11.5	39.1	241	123.2	118.4	51	154.5	183.21	Shrubland	3	3	Carnivore	Vertivore	Aerial	49037026.09	1	0	0	NA	1	0	NA	NA	NA	NA	0	42772390
7599	FALCONIFORMES	FALCONIDAE	Falco	Falco_naumanni	Falco_naumanni	1	0	1	-0.209309102	-0.616960052	0.182865711	9560575.62	347	1	4.76545268	5.7	2.996853971	10.92	0	1	Least-Concern	1	stable	2	1	1	0	NO	2.745	0.138	19.8	13	9.5	11	29.9	229.3	123.4	105.7	53.9	132.4	152.06	Grassland	3	3	Carnivore	Invertivore	Generalist	9560575.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13382449
7602	FALCONIFORMES	FALCONIDAE	Falco	Falco_sparverius	Falco_sparverius	18	12	6	1.961419877	1.892777356	1.388141835	26638648.91	580	2	5.962637363	5.7	3.029874828	14.67	0	1	Least-Concern	1	stable	2	0	0	0	NO	2.515	0.209	17.1	11	8.4	10.1	33.7	182.4	77.9	100.1	43.7	126.5	114.61	Grassland	3	3	Carnivore	Omnivore	Insessorial	26638648.91	35	1.544068044	6	0.78	10	1	NA	NA	228	2.357934847	2.419955748	18475897
7452	ACCIPITRIFORMES	ACCIPITRIDAE	Buteo	Buteo_buteo	Buteo_buteo	16	8	8	1.744111318	1.452350987	1.57692688	11719424.27	1140	1	5.189237848	10.1	9.449470051	28.75	0	0	Least-Concern	1	stable	2	1	1	1	NO	8.013	0.307	35.9	22.1	12.6	16.6	75.8	382.9	147.2	236.9	38.3	214.4	759.1	Grassland	3	2	Carnivore	Vertivore	Insessorial	11719424.27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	34850094
7453	ACCIPITRIFORMES	ACCIPITRIDAE	Buteo	Buteo_lagopus	Buteo_lagopus	2	1	1	0.247514806	0.111384748	0.213138576	9709846.76	250	2	5.56837801	10	7.360487325	21.47858796	0	0	Least-Concern	1	stable	2	1	1	0	NO	9.062	0.304	34.5	20.2	11.7	15.9	72.3	428.3	180.3	248.5	42.1	240	949.76	Grassland	3	3	Carnivore	Vertivore	Insessorial	9709846.76	NA	NA	NA	NA	NA	NA	NA	NA	9	0.954242509	0.954242509	3443191
4400	ACCIPITRIFORMES	ACCIPITRIDAE	Buteo	Buteo_regalis	Buteo_regalis	2	0	2	0.278570109	-0.560479367	0.636908882	2780053.23	205	1	3.623898139	9.7	6.860257537	23.67	0	0	Least-Concern	1	increasing	3	1	0	1	NO	9.614	0.13	41.3	23.8	18.3	20.2	81.6	431	179.2	254.5	41.3	240.6	1437.18	Grassland	3	3	Carnivore	Vertivore	Generalist	2780053.23	NA	NA	NA	NA	NA	NA	NA	NA	13	1.113943352	1.113943352	206156
4398	ACCIPITRIFORMES	ACCIPITRIDAE	Buteo	Buteo_jamaicensis	Buteo_jamaicensis	17	8	9	1.911463987	1.527870186	1.747240156	15462822.34	565	2	5.720327514	9.2	9.188919209	30.7	0	0	Least-Concern	1	increasing	3	0	0	0	NO	9	0.214	37.6	22.9	14.4	20.2	80.9	402.8	139.9	270.8	34.1	212.2	1101.16	Woodland	2	3	Carnivore	Vertivore	Insessorial	15462822.34	22	1.342422681	11	1.04	11	1.04	NA	NA	240	2.380211242	2.418301291	8074880
4467	ACCIPITRIFORMES	ACCIPITRIDAE	Haliaeetus	Haliaeetus_albicilla	Haliaeetus_albicilla	1	1	0	-0.346690104	-0.017963907	-0.591259151	17404346.92	833	2	8.541495481	17.5	14.45122842	30.62960403	0	0	Least-Concern	1	increasing	3	1	1	0	NO	17.561	0.064	74.1	46.1	22.9	33.9	95	599.5	227.2	370.9	38	294.2	4729.27	Rock	3	2	Carnivore	Aquatic predator	Aerial	17404346.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6261559
